Site Number,Month,Plant Species,Blooms,plus1,LogBloom
4,September,Foxglove beardtounge,0,1,0
4,September,Frost aster,29,30,1.477121255
4,September,Golden alexander,0,1,0
4,September,Goldenrod,1034,1035,3.01494035
4,September,Greyheaded coneflower,0,1,0
4,September,Hairy ruellia,0,1,0
4,September,Hoary vervain,0,1,0
4,September,Ironweed,0,1,0
4,September,Jersulem artichoke,0,1,0
4,September,Morning glory,0,1,0
4,September,Mountain mint,0,0,0
4,September,New england aster,20,21,1.322219295
4,September,Oxeye sunflower,0,1,0
4,September,Pale purple coneflower,0,1,0
4,September,Partridge pea,15,16,1.204119983
4,September,Purple prairie clover,0,1,0
4,September,Queen anne's lace,0,0,0
4,September,Rattlesnake master,0,1,0
4,September,Red clover,0,1,0
4,September,Sawtooth sunflower,0,1,0
4,September,Showy ticktrefoil,0,1,0
4,September,St. john's wort,0,0,0
4,September,Swamp milkweed,0,0,0
4,September,Swamp smartweed,0,1,0
4,September,Tall boneset,480,481,2.682145076
4,September,White clover,0,1,0
4,September,White heath aster,90,91,1.959041392
4,September,White sweet clover,0,1,0
4,September,White vervain,0,1,0
4,September,Wild bergamot,0,1,0
4,September,Wild parsnip,0,1,0
4,September,Yarrow,0,1,0
4,September,Yellow sweet clover,0,0,0
